sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
保密,-1,5.0,01-01,1999,159,111979.0,170.0,2,0,13,0
保密,-1,6.0,11-16,32,16,23941.0,42.0,0,0,9,0
保密,-1,5.0,01-01,114,27,23940.0,82.0,0,0,17,0
男,-1,4.0,01-06,11,140,292944.0,1789.0,0,0,5,0
男,-1,5.0,01-01,521,225,21070.0,694.0,10,0,13,0
男,-1,4.0,05-04,20,3,1214.0,4.0,0,0,1,0
保密,-1,5.0,01-14,19,558,551465.0,2695.0,0,0,155,0
男,-1,5.0,03-30,106,569,49417.0,185.0,3,1,8,0
保密,-1,5.0,05-10,253,714,92082.0,306.0,0,0,13,0
保密,-1,6.0,02-26,237,16,7040.0,6.0,1,0,5,0
保密,-1,5.0,01-01,72,4,7880.0,8.0,0,0,3,0
保密,-1,5.0,01-25,114,18,62318.0,6.0,0,0,1,0
男,-1,5.0,06-19,101,0,495.0,2.0,1,0,1,0
男,-1,5.0,01-26,164,3,168.0,2.0,4,0,7,0
保密,-1,5.0,01-12,186,12,5111.0,25.0,0,0,4,0
保密,-1,5.0,01-01,327,0,95.0,5.0,0,0,5,0
保密,-1,5.0,01-01,210,781,43500.0,993.0,37,0,19,1
保密,-1,4.0,11-11,5,201,930694.0,608.0,0,0,17,0
男,-1,5.0,12-26,39,7,12506.0,23.0,0,0,1,0
男,-1,5.0,05-30,63,33,24775.0,104.0,0,0,6,0
保密,-1,5.0,01-01,196,1,6137.0,4.0,4,0,4,0
男,-1,5.0,01-01,3,1,235.0,4.0,1,0,2,0
男,0,6.0,01-01,25,77002,5593591.0,34514.0,30,0,110,11
男,-1,5.0,05-15,222,462,32772.0,357.0,1,0,2,0
保密,-1,5.0,01-01,53,112,37266.0,151.0,2,0,103,0
女,-1,6.0,12-20,783,131,7507.0,43.0,26,0,15,0
男,-1,5.0,11-07,13,10,242.0,29.0,0,0,6,0
保密,-1,6.0,01-01,194,20,23101.0,27.0,0,0,17,0
男,-1,3.0,04-03,36,54,11501.0,65.0,0,0,1,0
男,-1,6.0,01-01,138,7,1127.0,2.0,1,0,2,0
男,-1,5.0,02-13,45,10,595.0,29.0,0,0,16,0
女,-1,5.0,01-01,1000,1452,275856.0,3069.0,2,0,10,1
男,-1,5.0,01-01,177,317,118955.0,1159.0,3,1,16,0
保密,-1,6.0,01-01,282,13,314.0,14.0,1,0,1,0
男,-1,5.0,01-01,414,175,28459.0,48.0,1,0,23,0
保密,-1,2.0,01-01,2,0,81.0,1.0,0,0,1,0
男,-1,5.0,08-08,48,5,2950.0,17.0,0,0,5,0
男,-1,5.0,10-11,368,226,11310.0,942.0,56,2,17,2
保密,-1,5.0,01-01,12,17,13602.0,4.0,0,0,1,0
保密,-1,2.0,01-25,2,187,259463.0,86.0,0,0,39,0
男,-1,5.0,01-01,240,6,16.0,2.0,0,0,1,0
保密,-1,6.0,02-12,163,39191,15881825.0,39022.0,21,0,1424,0
保密,-1,5.0,12-30,107,1,1670.0,1.0,0,0,1,0
保密,-1,6.0,02-01,191,26,925.0,1.0,0,0,5,0
保密,-1,4.0,01-01,21,22,16561.0,17.0,0,0,5,0
保密,-1,4.0,01-01,18,38,61971.0,72.0,0,0,6,0
男,-1,5.0,08-14,173,82,13347.0,95.0,3,0,2,0
保密,-1,6.0,06-25,118,8,2114.0,45.0,0,1,9,0
保密,-1,5.0,01-01,4,134,49600.0,7.0,0,0,2,0
男,-1,5.0,06-23,127,79,2414.0,27.0,0,0,1,0
保密,-1,5.0,01-01,273,10,2330.0,38.0,0,0,1,0
女,-1,5.0,09-05,39,2,557.0,1.0,0,0,3,0
女,-1,6.0,01-01,80,17451,8062264.0,39482.0,0,0,100,0
男,-1,6.0,12-27,292,11,2555.0,15.0,0,0,3,3
保密,-1,5.0,01-01,165,4,562.0,2.0,0,0,1,0
保密,-1,5.0,02-01,69,2,632.0,5.0,0,0,2,0
男,-1,6.0,01-01,14,7,25518.0,26.0,0,1,4,0
保密,-1,6.0,07-13,212,14,1769.0,25.0,2,1,1,0
保密,-1,5.0,01-01,376,112,108331.0,1.0,0,0,0,0
男,-1,5.0,08-21,41,333,16316.0,157.0,0,0,11,0
保密,-1,6.0,02-15,42,1,6052.0,10.0,5,0,0,0
女,-1,5.0,12-05,72,342,47920.0,2208.0,143,0,42,0
男,-1,5.0,01-01,48,19,7665.0,13.0,0,0,2,0
保密,-1,6.0,01-01,378,37,22293.0,173.0,1,0,12,0
男,-1,6.0,01-01,116,72,85439.0,136.0,3,0,16,0
保密,-1,5.0,06-27,186,54,21370.0,20.0,0,0,7,0
女,-1,5.0,01-01,54,2826,2849448.0,15651.0,0,0,62,0
女,-1,5.0,02-28,20,34,29632.0,37.0,0,0,3,0
保密,-1,5.0,01-11,16,0,35.0,1.0,0,0,0,0
男,-1,6.0,11-03,79,71,186337.0,157.0,0,0,2,0
男,-1,6.0,02-22,460,3,305.0,8.0,0,0,6,0
男,-1,5.0,08-17,10,4,957.0,4.0,0,0,42,0
男,-1,6.0,05-10,66,3,102.0,1.0,0,0,1,0
保密,-1,5.0,11-03,54,229,308870.0,1225.0,1,0,7,0
保密,-1,5.0,10-07,94,59,52360.0,272.0,0,0,16,0
男,-1,5.0,07-18,68,1,15.0,1.0,0,0,0,0
男,-1,4.0,01-01,3,186,11243.0,44.0,0,0,2,0
男,-1,5.0,10-24,119,13,46.0,1.0,0,0,0,0
男,-1,6.0,06-29,241,10215,2496541.0,210803.0,2691,1,172,0
保密,-1,5.0,09-18,64,20,1791.0,43.0,21,0,11,0
男,-1,5.0,04-23,169,362,55314.0,239.0,1,0,36,0
保密,-1,6.0,01-01,22,24281,1007144.0,3605.0,0,0,22,0
保密,-1,6.0,01-01,253,3743,1299827.0,36537.0,0,0,37,0
男,-1,6.0,06-21,343,25,48.0,20.0,4,0,2,0
保密,-1,5.0,04-23,87,4,365.0,17.0,0,0,1,0
保密,-1,5.0,01-01,115,1,153.0,1.0,0,0,1,0
保密,-1,5.0,10-18,8,7,3280.0,124.0,0,0,7,0
保密,-1,6.0,01-01,62,20795,3427793.0,4949.0,7,1,25,0
保密,-1,5.0,01-01,15,132,104997.0,477.0,0,0,8,0
保密,-1,5.0,09-15,550,8,7622.0,35.0,0,0,1,0
保密,-1,5.0,09-24,54,2,135.0,3.0,0,0,3,0
保密,-1,5.0,01-01,884,17,591.0,27.0,1,0,7,0
保密,-1,6.0,07-19,104,32,1964.0,3.0,0,0,2,0
保密,-1,5.0,01-01,18,9,12519.0,2.0,0,0,1,0
男,-1,5.0,10-12,10,1073,131597.0,1972.0,17,0,342,0
男,-1,6.0,01-01,159,7,68.0,3.0,0,0,2,0
保密,-1,5.0,01-01,22,5,3072.0,11.0,0,0,1,0
保密,-1,6.0,09-27,483,43,50479.0,570.0,0,0,3,0
男,-1,5.0,06-16,54,4,136.0,1.0,0,0,0,0
男,-1,5.0,12-10,60,8,15927.0,3.0,0,0,2,0
女,-1,6.0,01-27,311,23722,4883456.0,30522.0,28,0,458,0
保密,-1,5.0,01-01,66,1,7053.0,4.0,0,0,5,0
保密,-1,5.0,06-16,62,2,173.0,1.0,1,0,1,0
女,-1,5.0,01-01,19,44,48.0,5.0,0,0,1,0
男,-1,5.0,02-07,262,11,349.0,2.0,2,0,1,0
男,-1,5.0,02-03,33,66,11997.0,91.0,2,0,4,0
男,-1,5.0,08-12,81,3,1767.0,3.0,0,0,1,0
男,-1,5.0,04-02,12,20,1161.0,11.0,1,0,2,0
男,-1,5.0,08-22,47,33,41420.0,29.0,0,0,11,0
保密,-1,5.0,01-11,90,1,621.0,6.0,0,0,1,0
女,-1,5.0,07-16,10,796,82178.0,1097.0,10,0,12,0
保密,0,6.0,07-16,134,119475,12998155.0,475174.0,857,3,218,1
保密,-1,5.0,11-01,340,18,8389.0,754.0,0,0,2,0
男,-1,6.0,06-21,566,440,6338.0,806.0,19,0,11,0
保密,-1,5.0,12-20,20,1564,787535.0,654.0,7,0,178,0
男,-1,5.0,11-11,148,12509,95574.0,23544.0,317,4,7,0
保密,-1,5.0,03-30,58,128,1506268.0,15.0,0,0,14,0
男,-1,4.0,09-09,41,408,560162.0,567.0,1,0,21,0
男,-1,5.0,10-17,22,77,66691.0,79.0,4,0,18,0
男,-1,5.0,06-26,38,145,142763.0,641.0,1,0,22,0
保密,-1,6.0,01-01,96,42,10284.0,240.0,3,0,2,0
保密,-1,5.0,01-01,53,44,40309.0,52.0,0,0,16,0
男,-1,5.0,08-29,15,3,95.0,2.0,0,0,2,0
保密,-1,5.0,01-01,200,3529,1684217.0,7030.0,2,0,596,0
保密,-1,6.0,01-01,325,72,30435.0,91.0,0,0,4,0
保密,-1,5.0,09-09,28,9,31051.0,5.0,1,0,3,0
保密,-1,6.0,01-01,45,134,103549.0,252.0,0,0,7,0
保密,-1,5.0,01-01,22,5,5019.0,6.0,0,0,1,0
男,-1,6.0,01-01,114,52,18.0,28.0,4,0,0,0
女,-1,5.0,01-01,444,12,7785.0,25.0,0,0,5,0
男,-1,5.0,07-12,216,21,6512.0,80.0,0,0,2,0
男,-1,6.0,02-28,32,11,71219.0,866.0,0,0,0,0
保密,-1,5.0,06-23,97,3,292.0,3.0,0,0,0,0
保密,-1,5.0,01-01,70,4,6764.0,6.0,0,0,1,0
保密,-1,6.0,01-01,36,6,863.0,25.0,2,0,8,0
保密,-1,5.0,01-01,42,4,37403.0,48.0,0,0,1,0
女,-1,5.0,01-01,7,34,28405.0,12.0,0,0,2,0
男,-1,5.0,10-12,97,5,6677.0,16.0,3,0,2,0
保密,-1,5.0,04-22,1287,146,54386.0,616.0,0,0,63,0
男,-1,6.0,02-15,79,17,5962.0,355.0,0,0,1,0
男,-1,5.0,12-15,27,0,1057.0,10.0,0,0,4,0
男,-1,5.0,03-23,22,2,433.0,1.0,0,0,1,0
男,-1,5.0,01-25,108,235,110879.0,1307.0,1,0,16,0
保密,-1,6.0,10-12,22,7028,3914742.0,3001.0,1,0,6,0
保密,-1,5.0,01-11,55,15,306.0,10.0,0,0,2,0
男,-1,5.0,09-13,380,39,16530.0,94.0,3,1,9,1
男,-1,5.0,07-15,291,14,2069.0,13.0,0,0,7,0
保密,-1,5.0,01-01,199,6712,1635855.0,7213.0,0,0,334,0
保密,-1,4.0,01-01,23,15,233.0,19.0,0,0,1,0
男,-1,5.0,04-13,363,348,629459.0,26881.0,0,0,3,0
保密,-1,5.0,01-01,102,5,30420.0,71.0,1,0,3,0
保密,-1,5.0,10-25,133,3379,203991.0,9131.0,76,15,85,0
男,-1,6.0,02-26,293,6,3129.0,7.0,0,0,1,0
男,-1,5.0,01-01,34,35,469.0,13.0,0,0,3,0
女,-1,5.0,10-12,103,917,133239.0,559.0,0,0,7,0
保密,-1,5.0,01-01,15,2,346.0,8.0,0,0,4,0
保密,-1,6.0,01-01,245,58,95686.0,1846.0,0,0,1,0
男,-1,4.0,01-01,76,6,46094.0,42.0,0,0,2,0
保密,-1,5.0,01-01,29,7,578.0,3.0,0,0,5,0
保密,-1,6.0,05-01,294,19,7670.0,45.0,6,0,7,0
保密,-1,6.0,01-01,371,56,1605.0,93.0,2,0,4,0
女,-1,6.0,01-01,495,144,3249.0,199.0,24,0,2,0
保密,-1,6.0,11-04,76,21,2031.0,3.0,0,0,1,0
保密,-1,5.0,05-06,58,237,49235.0,789.0,0,0,13,0
保密,-1,6.0,01-01,112,2023,538184.0,10474.0,4,1,34,0
男,-1,5.0,03-21,173,46,1456.0,5.0,0,0,11,0
保密,-1,5.0,01-01,276,690,30134.0,2334.0,3,4,62,0
保密,-1,5.0,01-01,26,11,1049.0,1.0,0,0,0,0
男,-1,5.0,01-01,92,9,101.0,40.0,4,0,3,0
男,-1,6.0,03-06,301,20,2299.0,2.0,0,0,0,0
保密,-1,5.0,05-01,48,160,117479.0,822.0,1,3,247,0
男,-1,5.0,11-03,195,0,75.0,1.0,1,0,1,0
保密,-1,5.0,03-06,83,5,2218.0,2.0,0,0,1,0
保密,-1,5.0,01-01,39,0,172.0,1.0,0,0,2,0
女,-1,5.0,09-08,21,6,3101.0,15.0,11,0,5,0
保密,-1,5.0,11-01,62,107,230010.0,174.0,0,0,19,0
男,-1,5.0,11-18,106,4,5872.0,19.0,0,0,2,0
保密,-1,5.0,04-20,172,5,17.0,7.0,0,0,1,0
男,-1,5.0,01-01,2,14,15300.0,10.0,0,0,2,0
保密,-1,5.0,01-01,328,101,74777.0,719.0,10,0,8,0
保密,-1,6.0,01-01,70,95,23385.0,268.0,0,0,1,0
保密,-1,5.0,05-17,71,124,94896.0,1542.0,0,0,13,0
保密,-1,6.0,12-21,102,93,29956.0,16.0,0,0,14,0
保密,-1,5.0,12-31,166,63,10928.0,69.0,1,0,39,0
男,-1,5.0,09-27,127,54,58326.0,159.0,3,3,13,0
保密,-1,5.0,07-13,87,87,398770.0,285.0,1,0,8,0
男,-1,5.0,08-11,139,30,12019.0,3.0,0,0,2,0
男,-1,6.0,04-04,281,26,223.0,5.0,0,0,1,0
男,-1,6.0,01-01,23,1636,602939.0,368.0,0,0,5,0
男,-1,6.0,01-23,74,6,3756.0,3.0,2,0,1,0
保密,-1,6.0,01-01,138,32,36947.0,6.0,2,0,4,0
保密,-1,5.0,05-21,75,17,96407.0,71.0,0,0,6,0
男,-1,6.0,07-04,763,873,32179.0,562.0,7,1,19,0
女,-1,5.0,09-29,125,136,25858.0,124.0,0,0,2,0
保密,-1,5.0,01-01,13,1353,126339.0,1262.0,0,0,3,0
男,-1,5.0,02-02,163,279,189674.0,206.0,2,0,32,0
女,-1,5.0,01-03,109,75,19018.0,25.0,0,0,23,0
保密,-1,6.0,01-01,71,472,17176.0,31.0,0,0,8,0
女,-1,5.0,09-01,97,14,4874.0,5.0,0,0,1,0
保密,-1,3.0,01-01,2,86,10309.0,57.0,0,0,15,0
保密,-1,5.0,10-23,26,3,93.0,1.0,1,0,1,0
男,-1,4.0,01-01,118,6,13698.0,4.0,0,0,1,0
保密,-1,5.0,07-07,22,583,45882.0,234.0,0,0,15,0
保密,-1,5.0,01-09,554,21,3299.0,5.0,0,0,5,0
保密,-1,6.0,01-01,115,71,3233.0,27.0,4,1,10,0
保密,0,6.0,11-02,35,89459,4160957.0,276055.0,108,3,189,0
保密,-1,5.0,01-01,58,30,21293.0,3.0,0,0,0,0
男,-1,5.0,08-06,35,25,13400.0,4.0,0,0,1,0
保密,-1,5.0,01-01,99,3,684.0,22.0,0,0,1,0
男,-1,5.0,01-01,231,19,32.0,43.0,0,0,0,0
保密,-1,4.0,04-09,17,549,159330.0,1902.0,0,0,43,0
男,-1,5.0,07-02,91,3,433.0,16.0,0,0,1,0
男,-1,5.0,10-21,19,2,38436.0,4.0,0,0,7,0
保密,-1,5.0,01-01,67,1987,1732592.0,8411.0,137,10,120,0
男,-1,5.0,01-01,76,5,109.0,1.0,0,0,0,0
保密,-1,5.0,05-15,156,91,173122.0,91.0,0,0,34,0
保密,-1,5.0,03-31,355,5,490.0,10.0,2,0,2,0
保密,-1,5.0,11-11,296,150,200827.0,170.0,0,0,3,0
男,-1,5.0,05-25,214,53,41250.0,59.0,3,0,9,0
保密,-1,6.0,01-01,345,31,1253.0,8.0,1,0,4,0
保密,-1,6.0,01-01,1532,17,1057.0,19.0,0,0,3,0
男,-1,5.0,10-14,59,8,3576.0,12.0,0,0,9,0
女,-1,5.0,05-23,35,32,19049.0,354.0,0,0,8,0
保密,-1,6.0,06-26,333,19,8163.0,49.0,49,0,5,0
男,-1,5.0,05-17,26,888,63511.0,3780.0,0,0,13,0
保密,-1,5.0,12-17,42,32,2208.0,11.0,0,3,3,0
保密,-1,5.0,05-08,77,7,1206.0,9.0,0,0,1,0
保密,-1,5.0,08-06,502,2,303.0,5.0,0,0,5,0
保密,-1,5.0,11-13,58,127,1380.0,13.0,0,0,2,0
男,-1,5.0,02-09,23,614,34369.0,3740.0,33,5,1,0
保密,-1,5.0,12-28,85,4,41.0,2.0,1,0,0,0
保密,-1,5.0,01-01,581,68,1128.0,53.0,8,1,8,0
男,-1,5.0,04-28,49,14,1856.0,27.0,1,0,0,0
保密,-1,5.0,03-07,127,0,382.0,18.0,0,0,6,0
保密,-1,4.0,08-23,25,2,3524.0,23.0,0,0,1,0
男,-1,5.0,04-09,324,8,24094.0,7.0,0,0,5,0
保密,-1,5.0,12-25,112,270,88290.0,2084.0,0,0,11,0
保密,-1,5.0,01-01,227,1,11302.0,27.0,0,0,1,0
保密,-1,5.0,01-01,447,20,28707.0,104.0,0,0,3,2
保密,-1,5.0,01-23,101,252,98121.0,89.0,0,0,1,0
保密,-1,4.0,01-01,11,21,80813.0,225.0,0,0,5,0
男,-1,5.0,04-23,27,4,10358.0,3.0,0,0,3,0
保密,-1,5.0,01-01,128,31,115084.0,651.0,3,0,26,0
保密,-1,5.0,10-22,45,104,15316.0,8.0,0,0,1,0
男,-1,5.0,01-01,85,26,1255.0,16.0,0,0,3,0
保密,-1,6.0,05-03,22,5,219.0,25.0,0,0,1,0
保密,-1,6.0,01-01,91,62,2591.0,12.0,0,0,1,0
女,-1,5.0,10-11,79,102,24654.0,144.0,0,0,31,0
女,-1,6.0,01-01,81,4105,447871.0,14303.0,12,0,106,0
男,-1,5.0,06-24,137,171,62228.0,9.0,0,0,0,0
男,-1,5.0,01-01,105,4,3230.0,1.0,1,0,0,0
保密,-1,6.0,02-06,68,334,236129.0,6280.0,1,0,2,0
保密,-1,5.0,09-02,89,0,2387.0,1.0,1,0,1,0
保密,-1,6.0,01-01,8,1744,1334375.0,7875.0,0,0,2,0
女,-1,5.0,04-30,94,2241,29373.0,19334.0,271,0,41,0
保密,-1,5.0,01-01,19,10,1174.0,51.0,0,0,15,0
保密,-1,4.0,07-03,4,233,167496.0,1374.0,0,0,45,0
男,-1,6.0,07-01,247,24,5833.0,55.0,1,0,11,0
保密,-1,5.0,01-01,72,3,13.0,1.0,0,0,1,0
保密,-1,5.0,06-03,44,4,975.0,1.0,0,0,1,0
男,1,6.0,02-25,336,6165,326962.0,5665.0,17,0,11,25
女,-1,5.0,04-26,104,2371,22791.0,1463.0,9,0,35,0
保密,-1,5.0,07-04,43,11,6158.0,16.0,0,0,1,0
保密,-1,6.0,02-06,454,4,199.0,6.0,3,0,1,0
保密,-1,6.0,04-03,70,18,262.0,20.0,0,0,0,0
保密,-1,6.0,04-06,440,146,110905.0,408.0,0,0,3,0
保密,-1,5.0,01-01,57,144,13729.0,350.0,1,0,11,0
保密,-1,6.0,02-08,131,27064,22958709.0,249666.0,640,3,1028,0
保密,-1,5.0,01-01,42,4,2916.0,13.0,0,0,5,0
保密,-1,5.0,01-01,1987,15303,956802.0,40954.0,104,0,75,0
保密,-1,5.0,01-01,110,386,287100.0,97.0,0,0,15,0
男,-1,5.0,05-03,384,4,698.0,5.0,2,0,4,0
男,-1,6.0,11-30,101,13,5020.0,12.0,1,0,0,0
女,-1,6.0,03-21,147,7,10742.0,8.0,2,0,1,0
保密,-1,5.0,05-20,9,15,27340.0,2.0,0,0,25,0
男,-1,5.0,08-08,54,69,1155.0,1.0,0,0,0,0
女,-1,5.0,10-23,253,12,1240.0,3.0,7,0,0,0
女,-1,5.0,10-14,63,84,25250.0,382.0,0,0,1,0
男,-1,5.0,11-28,99,5,332.0,5.0,0,0,1,0
保密,-1,5.0,01-01,40,18,5.0,30.0,5,0,0,0
男,-1,5.0,01-01,259,34,338.0,1.0,0,0,0,0
保密,-1,5.0,01-23,144,14,37658.0,23.0,0,0,8,0
保密,-1,5.0,08-15,224,58,1529.0,60.0,0,0,3,0
女,-1,5.0,08-21,160,20,17945.0,141.0,4,0,8,0
保密,-1,5.0,01-01,44,0,271.0,3.0,0,0,5,0
男,-1,6.0,01-01,182,86,45449.0,347.0,2,0,19,0
保密,-1,5.0,01-01,46,6,5936.0,8.0,0,0,1,0
男,-1,5.0,10-01,106,1177,249310.0,4645.0,2,0,57,0
男,-1,6.0,04-28,209,6,370.0,15.0,1,0,3,0
男,-1,6.0,01-02,14,11,20194.0,27.0,0,0,2,0
男,-1,6.0,01-01,489,5,1733.0,16.0,0,0,14,0
女,-1,6.0,02-08,131,1359,636207.0,14584.0,1,0,46,0
保密,-1,6.0,11-25,392,44,19784.0,75.0,0,0,5,0
保密,-1,5.0,12-05,12,56,21539.0,36.0,0,0,9,0
保密,-1,6.0,05-05,496,183,13075.0,844.0,124,0,13,0
保密,-1,5.0,01-01,994,1580,322963.0,6875.0,4,0,16,0
保密,-1,5.0,06-13,381,39,57977.0,31.0,1,0,4,0
女,-1,5.0,01-01,106,3,220.0,5.0,0,0,1,0
保密,-1,5.0,04-24,137,14,1518.0,22.0,5,0,2,0
女,-1,6.0,06-23,276,5681,2195972.0,13857.0,0,0,80,0
保密,-1,5.0,08-14,109,0,611.0,2.0,1,0,3,0
保密,-1,5.0,01-01,62,164,18710.0,752.0,23,7,31,0
女,-1,6.0,11-23,97,36,36669.0,178.0,6,0,14,0
女,-1,6.0,06-11,42,3,1097.0,1.0,2,0,0,0
男,-1,5.0,09-09,98,1,33.0,1.0,0,0,1,0
保密,-1,5.0,05-10,1144,21,777.0,4.0,0,0,3,0
男,-1,5.0,10-12,69,6,8950.0,13.0,8,0,10,0
保密,-1,5.0,08-08,57,0,180.0,6.0,0,0,6,0
保密,-1,5.0,12-19,56,4,189.0,2.0,0,0,3,0
男,-1,6.0,01-20,182,50,3594.0,177.0,3,0,36,0
女,-1,5.0,02-10,52,93,18095.0,39.0,0,0,9,0
男,-1,5.0,11-18,18,1288,2855805.0,227.0,0,0,1,0
保密,-1,6.0,11-26,137,2016,885611.0,6054.0,0,0,27,0
男,-1,6.0,03-17,337,14,63.0,2.0,6,0,0,0
保密,-1,5.0,02-19,165,4,395.0,6.0,0,0,2,0
男,-1,5.0,01-01,58,138,29490.0,161.0,12,0,25,0
保密,-1,5.0,04-02,107,16,275.0,10.0,8,0,2,0
保密,-1,5.0,01-01,135,1,3717.0,1.0,0,0,2,0
男,-1,6.0,10-29,74,4,132.0,6.0,2,0,2,0
男,-1,6.0,12-06,27,2771,1904784.0,10215.0,91,1,209,0
保密,-1,4.0,02-02,13,7,15897.0,51.0,0,0,6,0
保密,-1,6.0,01-01,17,237,879024.0,519.0,0,0,15,0
男,-1,4.0,05-22,69,103,46164.0,60.0,0,0,0,0
保密,-1,5.0,05-06,245,12,606.0,1.0,0,0,0,0
男,-1,5.0,03-02,77,27,8951.0,35.0,0,0,22,0
保密,-1,5.0,01-01,56,46,5238.0,52.0,1,1,14,0
保密,-1,5.0,01-01,72,23,75549.0,20.0,0,0,3,0
男,-1,5.0,07-20,177,38,198874.0,197.0,16,0,27,0
男,-1,4.0,01-01,414,34,6059.0,10.0,0,0,2,0
保密,-1,5.0,01-01,423,34,2342.0,9.0,0,0,1,0
保密,-1,5.0,12-26,454,119,102015.0,132.0,0,0,29,0
保密,-1,5.0,01-01,30,151,282225.0,496.0,0,0,20,0
女,-1,5.0,12-13,22,175,209047.0,1188.0,0,0,8,0
女,-1,5.0,01-01,146,57,190220.0,399.0,0,0,6,0
保密,-1,5.0,01-08,226,50,29478.0,295.0,4,0,5,0
保密,-1,5.0,01-01,105,2,880.0,8.0,0,0,2,0
保密,-1,5.0,01-01,54,6,27803.0,2.0,0,0,2,0
保密,-1,5.0,09-14,219,0,8269.0,4.0,1,0,3,0
保密,-1,5.0,05-28,14,40,31941.0,144.0,0,0,10,0
保密,-1,5.0,01-08,103,601,148327.0,142.0,1,0,131,0
保密,-1,5.0,05-07,52,71,3410.0,2.0,0,0,1,0
保密,-1,6.0,01-02,480,4,17376.0,1.0,1,0,7,0
女,-1,5.0,03-05,108,121,289627.0,140.0,0,0,12,0
保密,-1,5.0,01-01,72,20,6261.0,43.0,1,0,12,0
女,-1,5.0,11-09,127,41,9035.0,527.0,0,0,4,0
男,-1,5.0,10-23,51,24,7250.0,11.0,0,0,4,0
男,-1,5.0,02-09,137,41,11609.0,10.0,0,0,0,0
男,-1,5.0,07-20,200,6,3138.0,34.0,1,0,92,0
保密,-1,4.0,07-11,49,26,30342.0,48.0,0,0,4,0
保密,-1,5.0,01-01,61,120,21100.0,191.0,0,0,2,0
保密,-1,5.0,07-04,51,47,11860.0,6.0,0,0,2,0
男,-1,6.0,06-08,43,52084,2736545.0,23795.0,21,0,26,0
保密,-1,5.0,06-04,61,4,139.0,16.0,1,0,2,0
男,-1,5.0,05-30,346,930,207030.0,2393.0,2,0,89,0
保密,-1,5.0,07-10,30,1,1526.0,2.0,0,0,3,0
保密,-1,6.0,05-01,84,497,17897.0,1433.0,6,0,38,14
男,0,6.0,05-26,12,110042,16594110.0,272988.0,200,2,901,0
男,-1,4.0,12-26,781,11,10274.0,16.0,0,0,7,0
女,-1,6.0,01-01,65,14756,1934862.0,25311.0,40,0,17,0
保密,-1,5.0,01-01,31,2,12412.0,41.0,0,0,14,0
保密,-1,6.0,02-14,64,1611,51171.0,2150.0,8,0,3,0
男,-1,5.0,04-18,589,148,113023.0,335.0,9,0,33,0
保密,-1,5.0,11-25,19,1,207.0,6.0,0,0,1,0
女,-1,6.0,03-02,309,175,58367.0,622.0,2,0,14,0
女,-1,5.0,01-01,38,1483,612840.0,7830.0,0,0,134,0
男,-1,4.0,01-24,351,34,114929.0,15.0,0,0,11,0
保密,-1,5.0,01-01,147,266,238635.0,134.0,0,0,34,0
男,-1,6.0,01-01,74,4,1183.0,1.0,0,0,2,0
保密,-1,6.0,01-01,22,196,134417.0,772.0,0,0,17,0
保密,-1,5.0,01-01,93,0,1380.0,2.0,0,0,1,0
男,-1,6.0,01-01,101,3,354.0,8.0,0,0,1,0
男,-1,6.0,12-30,26,15208,1201511.0,11695.0,0,0,58,0
保密,-1,6.0,01-01,64,40,43.0,27.0,5,0,1,0
男,-1,6.0,04-04,357,31,2513.0,142.0,1,0,3,0
男,-1,6.0,11-23,325,22,20781.0,241.0,1,0,1,0
保密,-1,5.0,01-01,75,11,425.0,16.0,0,0,0,0
男,-1,6.0,08-05,238,8188,294776.0,12395.0,22,0,36,5
女,-1,6.0,11-01,68,8722,1174012.0,20315.0,0,0,4,0
保密,-1,5.0,01-01,16,0,4677.0,1.0,0,0,1,0
保密,-1,5.0,01-01,373,9,1643.0,1.0,0,0,5,0
男,-1,5.0,01-13,135,4,3623.0,8.0,0,0,9,0
保密,-1,5.0,06-20,19,26,655.0,13.0,0,0,9,0
保密,-1,5.0,01-31,711,71,114756.0,11.0,0,0,5,0
男,-1,5.0,11-17,135,28,45959.0,95.0,0,0,4,0
保密,-1,6.0,01-01,15,34707,3330748.0,12459.0,0,0,158,0
男,-1,6.0,04-09,578,473,276.0,328.0,45,1,2,0
保密,-1,3.0,01-01,9,4,3768.0,4.0,0,0,3,0
男,-1,6.0,01-01,31,103,58782.0,100.0,0,0,23,0
男,-1,5.0,07-12,181,15,19798.0,17.0,1,0,7,0
保密,-1,5.0,01-01,221,86,64113.0,143.0,0,0,4,0
男,-1,5.0,01-29,237,371,9768.0,357.0,1,0,29,0
男,-1,5.0,01-01,46,63,310932.0,39.0,0,0,9,0
男,-1,5.0,10-04,53,132,155107.0,759.0,0,0,10,0
保密,-1,5.0,01-30,159,8,346.0,13.0,0,0,7,0
男,-1,5.0,01-01,517,2,150.0,1.0,0,0,2,0
女,-1,5.0,12-24,246,229,24208.0,716.0,0,0,94,0
男,-1,6.0,08-03,38,6690,1963474.0,15255.0,112,2,116,0
保密,-1,5.0,05-17,74,118,92.0,4.0,1,0,2,0
男,-1,5.0,01-01,55,17,7805.0,51.0,0,1,1,0
女,-1,5.0,06-17,29,0,220.0,5.0,0,0,1,0
保密,-1,5.0,01-01,620,68,199200.0,366.0,0,13,11,0
保密,-1,5.0,01-01,72,1708,357343.0,218.0,0,0,18,0
