sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
男,-1,5.0,02-03,118,125,306805.0,193.0,0,0,9,0
男,-1,6.0,02-25,277,8856,597677.0,988.0,0,0,52,0
保密,-1,4.0,01-01,11,25,10654.0,12.0,0,0,3,0
男,-1,5.0,01-10,35,29,30051.0,42.0,0,0,13,0
男,-1,5.0,01-01,11,77,52327.0,464.0,0,0,53,0
男,-1,5.0,01-01,25,7150,7190407.0,33249.0,19,0,825,0
男,-1,4.0,04-16,0,2324,3806541.0,4960.0,0,0,42,0
保密,-1,5.0,01-01,16,17,16373.0,1.0,0,0,0,0
女,-1,2.0,01-01,0,28,4149.0,82.0,0,0,1,0
保密,-1,4.0,04-20,29,0,3726.0,82.0,0,0,0,0
男,-1,6.0,08-18,523,49,2560.0,16.0,0,0,1,0
保密,-1,4.0,01-01,20,17,7.0,9.0,0,0,0,0
男,-1,5.0,12-25,143,824,288665.0,20064.0,0,0,43,0
保密,-1,3.0,07-07,11,8,599.0,423.0,0,0,0,0
女,-1,5.0,09-25,3,117,5814.0,137.0,0,0,0,0
保密,-1,6.0,01-01,1320,21,908.0,23.0,4,0,3,0
保密,-1,2.0,01-01,0,24,1165.0,7.0,0,0,1,0
保密,-1,5.0,12-01,104,273,10707.0,649.0,0,0,0,0
男,-1,5.0,03-30,24,77,7855.0,73.0,2,0,1,0
男,-1,5.0,01-01,8,46,13180.0,53.0,0,0,10,0
男,-1,5.0,01-10,3,795,392668.0,1181.0,0,0,66,0
男,-1,5.0,10-07,3,19,539.0,673.0,0,0,0,0
男,-1,5.0,12-24,14,44,181458.0,272.0,0,0,1,0
保密,-1,5.0,01-01,30,10,2265.0,1.0,0,0,2,0
保密,-1,5.0,01-01,12,89,1061.0,31.0,0,0,1,0
女,-1,5.0,01-01,51,26,7818.0,137.0,0,0,16,0
女,-1,6.0,02-28,47,12344,601578.0,25745.0,6,0,33,0
男,-1,5.0,10-27,26,8,285.0,3.0,0,0,1,0
男,-1,5.0,01-01,73,67,66501.0,99.0,0,0,3,0
女,-1,5.0,01-01,138,101,22419.0,342.0,9,0,74,0
男,-1,5.0,01-01,52,43,50611.0,74.0,0,0,1,0
男,-1,5.0,03-03,306,10,7536.0,1.0,0,0,0,0
女,-1,6.0,12-21,48,183,33043.0,70.0,0,0,6,0
保密,-1,5.0,01-11,50,432,189526.0,1069.0,0,0,3,0
男,-1,3.0,03-20,44,1518,54377.0,4171.0,24,3,362,45
男,-1,6.0,01-01,33,21,11945.0,64.0,2,2,0,0
男,-1,5.0,03-01,199,48,1597.0,61.0,4,0,5,0
保密,-1,3.0,01-01,32,173,217289.0,1016.0,0,2,1,0
男,-1,6.0,01-01,53,22,15196.0,6.0,0,0,1,0
保密,-1,6.0,09-29,93,67,93420.0,312.0,2,0,5,0
女,-1,5.0,05-06,131,176,33655.0,888.0,76,0,23,0
女,-1,6.0,01-01,87,115,15465.0,207.0,0,0,1,0
男,-1,3.0,01-01,30,57,252450.0,506.0,0,0,5,0
男,-1,6.0,01-01,24,103,186729.0,820.0,0,0,15,0
男,-1,5.0,12-24,7,1617,1825895.0,2410.0,0,0,34,0
男,-1,6.0,01-01,127,35,17915.0,59.0,2,0,3,0
男,-1,6.0,10-16,164,174,300768.0,486.0,1,0,14,0
女,-1,6.0,01-01,471,81,57340.0,394.0,2,0,3,0
保密,-1,6.0,01-01,65,78623,401331.0,62446.0,7,0,5,0
保密,-1,5.0,01-01,28,5374,1952793.0,4152.0,52,0,151,0
男,-1,5.0,03-03,49,22,12033.0,4.0,0,0,1,0
保密,-1,3.0,03-27,109,20,1052.0,35.0,0,0,3,0
